id,number,multi_part,attribution,text,install_position,adjacent_plates,dimensions_cm,cluster_id,source_ids,notes
caption-35,35,,Anne Frank,I still believe that people are really good at heart,under #417 & #418,"417,418",2 x 25,sec-play-learning,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 35 (Teens)
caption-36,36,,Baronga-African Folk Tale,"You are the young wonder-tree plant, grown out of ruins",below #433,433,2 x 36 1/2,sec-play-learning,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 35 (Teens)
caption-37,37,,Talfourd,"Fill the seats of justice with good men, • •",under #434 & #435,"434,435",2 x 36 1/2,sec-rededication-future,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 36 (Man's Judgment)
caption-38,38,,Sioux Indian,"Behold this and always love it! It is very sacred, and you must treat it as such",under #437–439,"437,439",2 x 50 1/2,sec-rededication-future,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 37 (Voting)
caption-39,39,,Jefferson,I know no safe depository of the ultimate powers of society but the people themselves,below #445,445,2 1/2 x 45,sec-rededication-future,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 38 (Government)
caption-40,40,,Bertrand Russell,Authorities are unanimous in saying • a war with hydrogen bombs is quite likely to put an end to the human race. • •,to left of #452,452,5 x 53 1/2,sec-relationships-community,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 39 (Faces)
caption-41,41,,Sophocles,"Who is the slaver, who the victim? Speak",above #455,455,2 1/2 x 32,sec-relationships-community,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 39 (Faces)
caption-42,42,,,Label for 456,,,,sec-hardship-suffering-war,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 40 (Bomb)
caption-43,43,a-c,Shakespeare,"O wonderful, wonderful, and most wonderful • •",above #470 & #471,"470,471",,sec-rededication-future,src-moma-exh-0569-master-checklist,"OCR flag: """"vonder-rul ••"""" Transcribed verbatim from the MoMA checklist PDF as ""Caption 4 a-c"" (OCR digit-loss; the leading '4' is positionally between Captions 42 and 44, so this is Caption 43 a-c — a three-part Shakespeare quotation series). The single bullet captures all three Shakespeare panels. Sits in MoMA Master Checklist Section 42 (Childhood Magic)"
caption-44,44,,St. John-Perse,• • • A world to be born under your footsteps. • •,under #503,503,,sec-rededication-future,src-moma-exh-0569-master-checklist,Sits in MoMA Master Checklist Section 42 (Childhood Magic)
